Name,Discription,Cost,Image Name,Product Type
24K,"Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!",16,99,Flower
AK-47,"Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47�s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste.",35,100,Flower
Alien Cookies,This strain is a balanced hybrid created through a cross of Alien Dawg & GSC.,16,101,Flower
Alien OG,"Alien OG has the typical lemon-pine ""OG"" smell and flavor, and an intense high that combines heavy indica body effects and psychedelic cerebral buzz. Beginners, be sure to take it slow with this heavy-hitter.",13,102,Flower
Blackberry Cream,"Blackberry Cream from Exotic Genetix combines the sweet berry terpenes of Blackberry Kush with the smooth creamy notes of Cookies and Cream. This 70% indica hybrid produces THC levels up to 25%, above average yields, and is an excellent choice for hash making.",225,103,Flower
Blue Dream ,"Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria. Some Blue Dream phenotypes express a more indica-like look and feel, but the sativa-leaning variety remains most prevalent.",9.95,104,Flower
Blue Dream Gold,"Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria. Some Blue Dream phenotypes express a more indica-like look and feel, but the sativa-leaning variety remains most prevalent.",16,105,Flower
Cadillac Purple,"One of the first things that patients notice about this plant is the sweet grape aroma and flavor. A truly purple plant, this medicinal herb also has high amounts of anthocyanin, a special neuroprotective flavonoid found in other healthful plants like pomegranate and blueberry. While the potency of this strain tends to be lower than other indica plants, there is no denying the fully sedated effects of Cadillac Purple. As a classic �creeper� strain, this flower builds momentum for long-lasting body relaxation.",55,106,Flower
Cheese Cake,"Gorgeous colors. Stunning crystals. Complex flavors and aromas. These are among the distinctive qualities of Shango Flower products. They are the direct result of Shango�s obsessive approach to flower cultivation, processing and packaging.",16,107,Flower
Chem Dawg 91,"Much like many other members of the Chemdawg line, the origins of Chemdawg 91 are shrouded in mystery. Rumor has it that the lineage was first cultivated by the illustrious East Coast breeder who also goes by the name of Chemdawg, and some speculate it descends from a Thai landrace strain. Chemdawg 91 is thought to be an offshoot of the original Chemdawg strain, and the numerical addition of �91� is believed to reference the year the strain first came into existence.",9.95,108,Flower
Cherry Diesel,"Cherry Diesel by MTG Seeds combines Cherry OG and Turbo Diesel into one sweet-smelling, uplifting hybrid strain.",225,109,Flower
